,sz_prob,pred,label
9.99609375,0.050148781388998,0.0,0.0
11.99609375,0.0459259301424026,0.0,0.0
13.99609375,0.0496029630303382,0.0,0.0
15.99609375,0.0338372290134429,0.0,0.0
17.99609375,0.0345116704702377,0.0,0.0
19.99609375,0.0564180202782154,0.0,0.0
21.99609375,0.0966932475566864,0.0,0.0
23.99609375,0.1252777427434921,0.0,0.0
25.99609375,0.122164100408554,0.0,0.0
27.99609375,0.0932327210903167,0.0,0.0
29.99609375,0.0586234703660011,0.0,0.0
31.99609375,0.0548605695366859,0.0,0.0
33.99609375,0.0612055659294128,0.0,0.0
35.99609375,0.0730524510145187,0.0,0.0
37.99609375,0.076857678592205,0.0,0.0
39.99609375,0.076163999736309,0.0,0.0
41.99609375,0.088657796382904,0.0,0.0
43.99609375,0.0915208384394645,0.0,0.0
45.99609375,0.0556980073451995,0.0,0.0
47.99609375,0.0473199412226676,0.0,0.0
49.99609375,0.0321671441197395,0.0,0.0
51.99609375,0.0278113521635532,0.0,0.0
53.99609375,0.0296067409217357,0.0,0.0
55.99609375,0.0431263372302055,0.0,0.0
57.99609375,0.0677403509616851,0.0,0.0
59.99609375,0.1008039116859436,0.0,0.0
61.99609375,0.0856558084487915,0.0,0.0
63.99609375,0.0849577412009239,0.0,0.0
65.99609375,0.0969637855887413,0.0,0.0
67.99609375,0.0907636806368827,0.0,0.0
69.99609375,0.125812217593193,0.0,0.0
71.99609375,0.117911621928215,0.0,0.0
73.99609375,0.0948114842176437,0.0,0.0
75.99609375,0.0685619488358497,0.0,0.0
77.99609375,0.0594803020358085,0.0,0.0
79.99609375,0.0736757144331932,0.0,0.0
81.99609375,0.0748530998826026,0.0,0.0
83.99609375,0.069375567138195,0.0,0.0
85.99609375,0.0731840804219245,0.0,0.0
87.99609375,0.0564446896314621,0.0,0.0
89.99609375,0.0655809491872787,0.0,0.0
91.99609375,0.0811042562127113,0.0,0.0
93.99609375,0.0803534835577011,0.0,0.0
95.99609375,0.0712479576468467,0.0,0.0
97.99609375,0.0589963942766189,0.0,0.0
99.99609375,0.0628031566739082,0.0,0.0
101.99609375,0.0392410084605217,0.0,0.0
103.99609375,0.0501441285014152,0.0,0.0
105.99609375,0.0518969669938087,0.0,0.0
107.99609375,0.0537729822099208,0.0,0.0
109.99609375,0.0570837520062923,0.0,0.0
111.99609375,0.0748781859874725,0.0,0.0
113.99609375,0.1094203814864158,0.0,0.0
115.99609375,0.1147707104682922,0.0,0.0
117.99609375,0.1188717633485794,0.0,0.0
119.99609375,0.0859447792172432,0.0,0.0
121.99609375,0.0527687147259712,0.0,0.0
123.99609375,0.063646949827671,0.0,0.0
125.99609375,0.0666003301739692,0.0,0.0
127.99609375,0.0621794052422046,0.0,0.0
129.99609375,0.0683201551437377,0.0,0.0
131.99609375,0.0627205818891525,0.0,0.0
133.99609375,0.0544407069683074,0.0,0.0
135.99609375,0.0519532822072505,0.0,0.0
137.99609375,0.041516438126564,0.0,0.0
139.99609375,0.0378877334296703,0.0,0.0
141.99609375,0.0379474572837352,0.0,0.0
143.99609375,0.0447530969977378,0.0,0.0
145.99609375,0.0446228571236133,0.0,0.0
147.99609375,0.0452572368085384,0.0,0.0
149.99609375,0.0369444526731967,0.0,0.0
151.99609375,0.0431859940290451,0.0,0.0
153.99609375,0.0399025976657867,0.0,0.0
155.99609375,0.049055241048336,0.0,0.0
157.99609375,0.0705473124980926,0.0,0.0
159.99609375,0.0956049486994743,0.0,0.0
161.99609375,0.0840794295072555,0.0,0.0
163.99609375,0.0832100287079811,0.0,0.0
165.99609375,0.0645462349057197,0.0,0.0
167.99609375,0.0822738036513328,0.0,0.0
169.99609375,0.0998004227876663,0.0,0.0
171.99609375,0.0783243775367736,0.0,0.0
173.99609375,0.0755058377981185,0.0,0.0
175.99609375,0.0522520877420902,0.0,0.0
177.99609375,0.0421901308000087,0.0,0.0
179.99609375,0.0440953709185123,0.0,0.0
181.99609375,0.0568260475993156,0.0,0.0
183.99609375,0.0523568503558635,0.0,0.0
185.99609375,0.0452166087925434,0.0,0.0
187.99609375,0.0529502555727958,0.0,0.0
189.99609375,0.0363630019128322,0.0,0.0
191.99609375,0.0399173237383365,0.0,0.0
193.99609375,0.047851838171482,0.0,0.0
195.99609375,0.0497164390981197,0.0,0.0
197.99609375,0.0448529310524463,0.0,0.0
199.99609375,0.0418510884046554,0.0,0.0
201.99609375,0.0447411052882671,0.0,0.0
203.99609375,0.0581483244895935,0.0,0.0
205.99609375,0.057636022567749,0.0,0.0
207.99609375,0.0701989233493805,0.0,0.0
209.99609375,0.103977121412754,0.0,0.0
211.99609375,0.0789589583873748,0.0,0.0
213.99609375,0.0986775606870651,0.0,0.0
215.99609375,0.0914058834314346,0.0,0.0
217.99609375,0.0658711865544319,0.0,0.0
219.99609375,0.0605661757290363,0.0,0.0
221.99609375,0.0781523957848548,0.0,0.0
223.99609375,0.0512300468981266,0.0,0.0
225.99609375,0.0431993715465068,0.0,0.0
227.99609375,0.0510564260184764,0.0,0.0
229.99609375,0.0458545945584774,0.0,0.0
231.99609375,0.0693029090762138,0.0,0.0
233.99609375,0.0869152098894119,0.0,0.0
235.99609375,0.1266664862632751,0.0,0.0
237.99609375,0.1276475489139557,0.0,0.0
239.99609375,0.0888796672224998,0.0,0.0
241.99609375,0.11513601988554,0.0,0.0
243.99609375,0.1091320142149925,0.0,0.0
245.99609375,0.0944172143936157,0.0,0.0
247.99609375,0.0867897644639015,0.0,0.0
249.99609375,0.0858492478728294,0.0,0.0
251.99609375,0.069223441183567,0.0,0.0
253.99609375,0.0641470178961753,0.0,0.0
255.99609375,0.0609982870519161,0.0,0.0
257.99609375,0.0566558949649333,0.0,0.0
259.99609375,0.0689993724226951,0.0,0.0
261.99609375,0.0687339529395103,0.0,0.0
263.99609375,0.1322313845157623,0.0,0.0
265.99609375,0.1265745162963867,0.0,0.0
267.99609375,0.1858302801847458,0.0,0.0
269.99609375,0.2197930365800857,0.0,0.0
271.99609375,0.1435023248195648,0.0,0.0
273.99609375,0.1146349608898162,0.0,0.0
275.99609375,0.0791401714086532,0.0,0.0
277.99609375,0.0636934265494346,0.0,0.0
279.99609375,0.0965577363967895,0.0,0.0
281.99609375,0.1335865408182144,0.0,0.0
283.99609375,0.1278275102376938,0.0,0.0
285.99609375,0.13345767557621,0.0,0.0
287.99609375,0.0906541272997856,0.0,0.0
289.99609375,0.0766385197639465,0.0,0.0
291.99609375,0.0671726763248443,0.0,0.0
293.99609375,0.0536945983767509,0.0,0.0
295.99609375,0.0531396344304084,0.0,0.0
297.99609375,0.0655040070414543,0.0,0.0
299.99609375,0.0499729253351688,0.0,1.0
301.99609375,0.044456597417593,0.0,1.0
303.99609375,0.0575368590652942,0.0,1.0
305.99609375,0.0591887459158897,0.0,1.0
307.99609375,0.0925748646259307,0.0,1.0
309.99609375,0.1348891407251358,0.0,1.0
311.99609375,0.1659241020679474,0.0,1.0
313.99609375,0.193099170923233,0.0,1.0
315.99609375,0.2086351364850998,0.0,1.0
317.99609375,0.2891990542411804,0.0,1.0
319.99609375,0.2670726180076599,0.0,1.0
321.99609375,0.3500471413135528,0.0,1.0
323.99609375,0.3313910961151123,0.0,1.0
325.99609375,0.3272354006767273,0.0,1.0
327.99609375,0.4506240487098694,0.0,1.0
329.99609375,0.5139099359512329,0.0,1.0
331.99609375,0.5483568906784058,0.0,1.0
333.99609375,0.4916557073593139,0.0,1.0
335.99609375,0.3842267692089081,0.0,1.0
337.99609375,0.2135895788669586,0.0,1.0
339.99609375,0.3123039901256561,1.0,1.0
341.99609375,0.3010022044181824,1.0,1.0
343.99609375,0.3424869775772095,1.0,1.0
345.99609375,0.431905061006546,1.0,1.0
347.99609375,0.4410742819309234,1.0,1.0
349.99609375,0.3939334750175476,1.0,1.0
351.99609375,0.3871924579143524,1.0,1.0
353.99609375,0.3240305185317993,1.0,1.0
355.99609375,0.3652257621288299,1.0,1.0
357.99609375,0.2987970411777496,1.0,1.0
359.99609375,0.4427529871463775,1.0,1.0
361.99609375,0.3945016860961914,1.0,1.0
363.99609375,0.3206135630607605,1.0,1.0
365.99609375,0.1316425651311874,1.0,1.0
367.99609375,0.1465094983577728,1.0,1.0
369.99609375,0.1005976721644401,1.0,1.0
371.99609375,0.0833576768636703,1.0,1.0
373.99609375,0.0879702121019363,1.0,1.0
375.99609375,0.0713940858840942,1.0,1.0
377.99609375,0.0561335608363151,1.0,1.0
379.99609375,0.051535241305828,1.0,1.0
381.99609375,0.0505202189087867,1.0,1.0
383.99609375,0.0542785599827766,1.0,1.0
385.99609375,0.0449373424053192,1.0,1.0
387.99609375,0.0408526547253131,1.0,1.0
389.99609375,0.034353531897068,1.0,1.0
391.99609375,0.0371682085096836,1.0,1.0
393.99609375,0.0280511435121297,1.0,0.0
395.99609375,0.0317694842815399,1.0,0.0
397.99609375,0.0392525754868984,0.0,0.0
399.99609375,0.0441140495240688,0.0,0.0
401.99609375,0.0394751504063606,0.0,0.0
403.99609375,0.0346682034432888,0.0,0.0
405.99609375,0.0401732996106147,0.0,0.0
407.99609375,0.0614657700061798,0.0,0.0
409.99609375,0.0613712519407272,0.0,0.0
411.99609375,0.0629003196954727,0.0,0.0
413.99609375,0.0521650128066539,0.0,0.0
415.99609375,0.0376565083861351,0.0,0.0
417.99609375,0.0584890991449356,0.0,0.0
419.99609375,0.10065308958292,0.0,0.0
421.99609375,0.1843917518854141,0.0,0.0
423.99609375,0.2606343626976013,0.0,0.0
425.99609375,0.3670292794704437,0.0,0.0
427.99609375,0.457296073436737,0.0,0.0
429.99609375,0.3237462937831878,0.0,0.0
