,sz_prob,pred,label
9.99609375,0.0643772184848785,0.0,0.0
11.99609375,0.0513690970838069,0.0,0.0
13.99609375,0.0490693822503089,0.0,0.0
15.99609375,0.0497288554906845,0.0,0.0
17.99609375,0.044916670769453,0.0,0.0
19.99609375,0.0526413097977638,0.0,0.0
21.99609375,0.0603225044906139,0.0,0.0
23.99609375,0.0545826181769371,0.0,0.0
25.99609375,0.0748524665832519,0.0,0.0
27.99609375,0.0683290138840675,0.0,0.0
29.99609375,0.0771321430802345,0.0,0.0
31.99609375,0.0670483037829399,0.0,0.0
33.99609375,0.0656917542219162,0.0,0.0
35.99609375,0.0603483617305755,0.0,0.0
37.99609375,0.0481124334037303,0.0,0.0
39.99609375,0.0413660295307636,0.0,0.0
41.99609375,0.0439827553927898,0.0,0.0
43.99609375,0.0343715362250804,0.0,0.0
45.99609375,0.0332734696567058,0.0,0.0
47.99609375,0.0436826348304748,0.0,0.0
49.99609375,0.0453645959496498,0.0,0.0
51.99609375,0.0419241711497306,0.0,0.0
53.99609375,0.0479019358754158,0.0,0.0
55.99609375,0.037189170718193,0.0,0.0
57.99609375,0.0410625115036964,0.0,0.0
59.99609375,0.0553532056510448,0.0,0.0
61.99609375,0.0549535900354385,0.0,0.0
63.99609375,0.050939030945301,0.0,0.0
65.99609375,0.0669729113578796,0.0,0.0
67.99609375,0.0566685609519481,0.0,0.0
69.99609375,0.0700261071324348,0.0,0.0
71.99609375,0.0617319382727146,0.0,0.0
73.99609375,0.0588395670056343,0.0,0.0
75.99609375,0.0406705848872661,0.0,0.0
77.99609375,0.0375142283737659,0.0,0.0
79.99609375,0.0402236729860305,0.0,0.0
81.99609375,0.034110203385353,0.0,0.0
83.99609375,0.0325281396508216,0.0,0.0
85.99609375,0.0355302579700946,0.0,0.0
87.99609375,0.0381974019110202,0.0,0.0
89.99609375,0.042716909199953,0.0,0.0
91.99609375,0.0428391210734844,0.0,0.0
93.99609375,0.0376507230103015,0.0,0.0
95.99609375,0.0382364653050899,0.0,0.0
97.99609375,0.0363102629780769,0.0,0.0
99.99609375,0.0379866175353527,0.0,0.0
101.99609375,0.0556040741503238,0.0,0.0
103.99609375,0.051735021173954,0.0,0.0
105.99609375,0.0479597300291061,0.0,0.0
107.99609375,0.049965813755989,0.0,0.0
109.99609375,0.0490773469209671,0.0,0.0
111.99609375,0.0509115941822528,0.0,0.0
113.99609375,0.0468559712171554,0.0,0.0
115.99609375,0.0466633699834346,0.0,0.0
117.99609375,0.0338698700070381,0.0,0.0
119.99609375,0.0420112162828445,0.0,0.0
121.99609375,0.0367651954293251,0.0,0.0
123.99609375,0.0346199348568916,0.0,0.0
125.99609375,0.0403039678931236,0.0,0.0
127.99609375,0.0469225943088531,0.0,0.0
129.99609375,0.0444814376533031,0.0,0.0
131.99609375,0.0547175966203212,0.0,0.0
133.99609375,0.0498143173754215,0.0,0.0
135.99609375,0.0522166229784488,0.0,0.0
137.99609375,0.0527621731162071,0.0,0.0
139.99609375,0.0535423271358013,0.0,0.0
141.99609375,0.0617421492934227,0.0,0.0
143.99609375,0.0697772428393364,0.0,0.0
145.99609375,0.0591267347335815,0.0,0.0
147.99609375,0.0538081973791122,0.0,0.0
149.99609375,0.0509534962475299,0.0,0.0
151.99609375,0.0414640754461288,0.0,0.0
153.99609375,0.0369356833398342,0.0,0.0
155.99609375,0.0501805581152439,0.0,0.0
