montage,n_sz_files,n_iic_files,n_patients,num_sz,total_sz_dura_min,avg_sz_dura_min,recall_event,fp_per_hour,precision_event,f1_event,specificity,auroc_sample,auprc_sample
full,295,297,107,295,358.16666666666663,1.2141242937853105,0.9348909657320872,4.118187369444661,0.6677567412507169,0.7790604784594655,0.8909889989460755,0.8172196183457023,0.5614052159472787
uneeg_left_front,295,297,107,295,358.16666666666663,1.2141242937853105,0.3389630618602582,1.5220320147389654,0.5787461773700305,0.4275288248940427,0.9975328590977488,0.6557953756421493,0.2721283814234294
uneeg_left_back,295,297,107,295,358.16666666666663,1.2141242937853105,0.6072949117341641,3.678783457421924,0.5935828877005348,0.6003606154809402,0.9717219488338447,0.6490369816282896,0.25630234500225985
uneeg_right_front,295,297,107,295,358.16666666666663,1.2141242937853105,0.3423861444889482,1.485365332333211,0.5439497716894977,0.4202489411179743,0.9979000769091376,0.6375396350152542,0.2536206894432386
uneeg_right_back,295,297,107,295,358.16666666666663,1.2141242937853105,0.6677458834000891,3.0936591123224337,0.6734212239583333,0.670571545671307,0.9670571643988674,0.6445028795447141,0.26636882384153415
uneeg_bilateral_back2,295,297,107,295,358.16666666666663,1.2141242937853105,0.8968736092567868,4.710293174766066,0.6251293192633974,0.7367423259364196,0.903612046103135,0.7174306833538605,0.31772353401899617
uneeg_bilateral_front2,295,297,107,295,358.16666666666663,1.2141242937853105,0.8200823319982199,5.689598083261213,0.5846391984689857,0.6826296413333278,0.9643582513186981,0.7296117637503741,0.3403161780958809
uneeg_vert_left,295,297,107,295,358.16666666666663,1.2141242937853105,0.7450637887553775,4.0923734665757765,0.6535625874502207,0.6963200835887111,0.9381374413866796,0.6436921568927377,0.26723021772057654
uneeg_vert_right,295,297,107,295,358.16666666666663,1.2141242937853105,0.7342827473668594,3.060291924993342,0.7007833436404866,0.717142049556847,0.9397061617915544,0.6471581655990859,0.26470593164870637
uneeg_diag_left_front,295,297,107,295,358.16666666666663,1.2141242937853105,0.8601579884290165,4.339296631616195,0.6645784390498564,0.7498246162212072,0.9172668987847961,0.6617569537534084,0.26904125353741104
uneeg_diag_left_back,295,297,107,295,358.16666666666663,1.2141242937853105,0.6586856549473373,3.373719049186232,0.6379328006556033,0.6481431492764451,0.9766957260547853,0.700429926912323,0.31289071206722274
uneeg_diag_right_front,295,297,107,295,358.16666666666663,1.2141242937853105,0.8761163032191068,4.332603639040058,0.6750667151868025,0.7625624415918684,0.8980794898718737,0.645853444686102,0.267019669308812
uneeg_diag_right_back,295,297,107,295,358.16666666666663,1.2141242937853105,0.7322318647085002,3.513915349057368,0.6630853994490359,0.6959453179169293,0.9638713958704915,0.6751219758609501,0.2993352434773191
uneeg_diag_bilateral_front,295,297,107,295,358.16666666666663,1.2141242937853105,0.9386292834890966,4.839181447322818,0.6595568541514487,0.7747275024503267,0.8437579121722872,0.7039974298783056,0.3204691088475986
uneeg_diag_bilateral_back,295,297,107,295,358.16666666666663,1.2141242937853105,0.9589563862928349,4.400362846015301,0.648539878933014,0.7737765519237676,0.8852286570824685,0.7479708069251314,0.3588153386755639
uneeg_vert_bilateral,295,297,107,295,358.16666666666663,1.2141242937853105,0.8662772585669781,4.605045660546172,0.6457183475497575,0.7399110389724454,0.9293985003240487,0.7254127442506142,0.34435911938728825
epiminder_2,295,297,107,295,358.16666666666663,1.2141242937853105,0.6509939178163477,2.3143268261144256,0.6867229650480883,0.6683812983115621,0.9748027330871576,0.6967362979539831,0.31274813335861473
ceribell,295,297,107,295,358.16666666666663,1.2141242937853105,0.9964953271028038,5.207223309686444,0.6589236534380786,0.7932908215828407,0.6013462165287352,0.7627795093112737,0.3791529782919121
